Date : 2026-09-14 04:22:52
Directory : c:\Users\zsolt\source\Salztal_Service_Wochenplan\src
Total : 179 files,  10036 codes, 11 comments, 1599 blanks, all 11646 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ShiftTypeStandardTimeUpdateData.cs                                                | C#       |         25 |          0 |          8 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\SplitShiftPatternSnapshot.cs                                                      | C#       |          9 |          0 |          2 |         11 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeCommand.cs                                             | C#       |        153 |          0 |         19 |        172 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeRequest.cs                                             | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeResult.cs                                              | C#       |         57 |          0 |         11 |         68 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationCommand.cs                                                      | C#       |         75 |          0 |         11 |         86 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationRequest.cs                                                      | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationResult.cs                                                       | C#       |         51 |          0 |         11 |         62 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\WorkLocationSnapshot.cs                                                           | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\packages.lock.json                                                                               | JSON     |         10 |          0 |          0 |         10 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\App.xaml                                                                                             | XAML     |          6 |          0 |          1 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\App.xaml.cs                                                                                          | C#       |         36 |          0 |          4 |         40 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\AssemblyInfo.cs                                                                                      | C#       |          6 |          0 |          3 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\CompositionMarker.cs                                                                     | C#       |          4 |          0 |          2 |          6 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\MainWindowComposition.cs                                                                 | C#       |         76 |          0 |          7 |         83 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\MainWindowDependencies.cs                                                                | C#       |         14 |          0 |          3 |         17 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeEditorMode.cs                                                             | C#       |          8 |          0 |          2 |         10 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeEligibilityItemViewModel.cs                                               | C#       |          7 |          0 |          2 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewItemViewModel.cs                                                  | C#       |         68 |          0 |         17 |         85 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewView.xaml                                                         | XAML     |        500 |          0 |         30 |        530 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewView.xaml.cs                                                      | C#       |          9 |          0 |          3 |         12 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewViewModel.cs                                                      | C#       |        703 |          0 |         99 |        802 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeTypeOptionViewModel.cs                                                    | C#       |         27 |          0 |         10 |         37 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ReliefShiftPatternViewModel.cs                                               | C#       |         15 |          0 |          2 |         17 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ServiceCatalogViewModel.cs                                                   | C#       |        236 |          0 |         34 |        270 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ShiftTypeEditorViewModel.cs                                                  | C#       |        212 |          0 |         35 |        247 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ShiftTypeTimeOption.cs                                                       | C#       |          6 |          0 |          3 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\SplitShiftPatternViewModel.cs                                                | C#       |          8 |          0 |          2 |         10 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\WorkLocationColorOption.cs                                                   | C#       |          2 |          0 |          2 |          4 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\WorkLocationEditorViewModel.cs                                               | C#       |        197 |          0 |         29 |        226 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindow.xaml                                                                                      | XAML     |        492 |          0 |         29 |        521 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindow.xaml.cs                                                                                   | C#       |         27 |          0 |          6 |         33 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindowViewModel.cs                                                                               | C#       |         17 |          0 |          6 |         23 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Salztal.Dienstplanung.Desktop.csproj                                                                 | XML      |         16 |          0 |          1 |         17 |
