"filename", "language", "JSON", "XML", "C#", "XAML", "comment", "blank", "total"
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityMode.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityTargetKind.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\WeeklyWorkTarget.cs", "C#", 0, 0, 32, 0, 0, 9, 41
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\WeeklyWorkTargetValidationCode.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Salztal.Dienstplanung.Domain.csproj", "XML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\IShiftPattern.cs", "C#", 0, 0, 6, 0, 0, 3, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\InitialShiftPatternCatalog.cs", "C#", 0, 0, 34, 0, 0, 10, 44
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPattern.cs", "C#", 0, 0, 103, 0, 0, 25, 128
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationCode.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftPatternValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ReliefShiftSwitchRule.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\ShiftPatternId.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\SplitShiftPattern.cs", "C#", 0, 0, 117, 0, 0, 24, 141
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\SplitShiftPatternValidationCode.cs", "C#", 0, 0, 14, 0, 0, 2, 16
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\SplitShiftPatternValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftPatterns\SplitShiftPatternValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\InitialShiftTypeCatalog.cs", "C#", 0, 0, 68, 0, 0, 11, 79
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftStandardTime.cs", "C#", 0, 0, 51, 0, 0, 12, 63
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftStandardTimeValidationCode.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftStandardTimeValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftStandardTimeValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftType.cs", "C#", 0, 0, 104, 0, 0, 23, 127
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeDisplay.cs", "C#", 0, 0, 11, 0, 0, 4, 15
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeDisplayKind.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeId.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeName.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeValidationCode.cs", "C#", 0, 0, 11, 0, 0, 2, 13
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\ShiftTypes\ShiftTypeValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\InitialWorkLocationCatalog.cs", "C#", 0, 0, 26, 0, 0, 8, 34
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocation.cs", "C#", 0, 0, 51, 0, 0, 13, 64
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationColor.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationId.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationName.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationValidationCode.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\WorkLocations\WorkLocationValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\packages.lock.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Excel\AssemblyMarker.cs", "C#", 0, 0, 4, 0, 0, 2, 6
